SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G03,2024-05-06 18:25:20.420000+00:00,12839637.77327642,9021254.502877994,21298963.70025769,18960323.23616227,44.7,4571189.9626144795,2920463.3289026576,3046230.5462574316,29.485963158426657,32.57388670621039,-151703.25476470124
G06,2024-05-06 18:25:20.420000+00:00,4814125.450227877,-14587028.470996648,21711917.45906805,23364771.438724745,49.9,4571189.9626144795,2920463.3289026576,3046230.5462574316,29.485963158426657,32.57388670621039,-151703.25476470124
G09,2024-05-06 18:25:20.420000+00:00,25258201.702032745,-7261471.005934253,3954683.8492604666,20820005.088100232,50.1,4571189.9626144795,2920463.3289026576,3046230.5462574316,29.485963158426657,32.57388670621039,-151703.25476470124
G17,2024-05-06 18:25:20.420000+00:00,21164281.7075119,-13389184.280472193,9500074.269399839,22479268.14974605,48.3,4571189.9626144795,2920463.3289026576,3046230.5462574316,29.485963158426657,32.57388670621039,-151703.25476470124
G19,2024-05-06 18:25:20.420000+00:00,13827644.450300008,-15263604.536188649,16368457.459100941,22107724.882386673,49.7,4571189.9626144795,2920463.3289026576,3046230.5462574316,29.485963158426657,32.57388670621039,-151703.25476470124
G21,2024-05-06 18:25:20.420000+00:00,20944822.559710518,16836708.475968856,-3139297.8704320365,20221986.777793456,49.7,4571189.9626144795,2920463.3289026576,3046230.5462574316,29.485963158426657,32.57388670621039,-151703.25476470124
G26,2024-05-06 18:25:20.420000+00:00,-4216344.410452144,25855816.17265816,2780515.508102531,22561760.717548788,50.7,4571189.9626144795,2920463.3289026576,3046230.5462574316,29.485963158426657,32.57388670621039,-151703.25476470124
G28,2024-05-06 18:25:20.420000+00:00,-7096168.720474013,13610811.433372185,21663095.262897458,22325059.52393862,49.9,4571189.9626144795,2920463.3289026576,3046230.5462574316,29.485963158426657,32.57388670621039,-151703.25476470124
G31,2024-05-06 18:25:20.420000+00:00,2852738.086163844,19095580.722647406,17850918.79852886,19853545.391323045,50.7,4571189.9626144795,2920463.3289026576,3046230.5462574316,29.485963158426657,32.57388670621039,-151703.25476470124
G02,2024-05-06 18:25:22.417843+00:00,22724191.559619788,13966016.220284514,1986578.4198171531,19084115.583491825,47.9,4571241.504924807,2920484.3335395628,3046370.9154401664,29.48684342181369,32.57378056364748,-151586.5101946937
G03,2024-05-06 18:25:22.417843+00:00,12838640.733930632,9026625.448193217,21297324.948126104,18960047.447467923,46.4,4571241.504924807,2920484.3335395628,3046370.9154401664,29.48684342181369,32.57378056364748,-151586.5101946937
G06,2024-05-06 18:25:22.417843+00:00,4818367.978885845,-14583570.536527269,21713324.74692916,23363486.51539019,48.2,4571241.504924807,2920484.3335395628,3046370.9154401664,29.48684342181369,32.57378056364748,-151586.5101946937
G09,2024-05-06 18:25:22.417843+00:00,25257466.569484957,-7260561.245638519,3960909.0128022484,20819202.255591873,48.2,4571241.504924807,2920484.3335395628,3046370.9154401664,29.48684342181369,32.57378056364748,-151586.5101946937
G17,2024-05-06 18:25:22.417843+00:00,21166584.693144504,-13389459.192623883,9494329.111257097,22479571.241078343,46.8,4571241.504924807,2920484.3335395628,3046370.9154401664,29.48684342181369,32.57378056364748,-151586.5101946937
G19,2024-05-06 18:25:22.417843+00:00,13831859.277277064,-15264296.27327235,16364221.983695759,22107566.0013579,47.6,4571241.504924807,2920484.3335395628,3046370.9154401664,29.48684342181369,32.57378056364748,-151586.5101946937
G21,2024-05-06 18:25:22.417843+00:00,20943871.48775706,16836535.117334466,-3145456.5455998844,20222973.385633998,48.4,4571241.504924807,2920484.3335395628,3046370.9154401664,29.48684342181369,32.57378056364748,-151586.5101946937
G26,2024-05-06 18:25:22.417843+00:00,-4217086.554842739,25854998.50993528,2786728.162775123,22561214.190907482,47.8,4571241.504924807,2920484.3335395628,3046370.9154401664,29.48684342181369,32.57378056364748,-151586.5101946937
G28,2024-05-06 18:25:22.417843+00:00,-7100575.362066338,13607508.048286468,21663725.59344604,22326261.982724667,47.9,4571241.504924807,2920484.3335395628,3046370.9154401664,29.48684342181369,32.57378056364748,-151586.5101946937
G31,2024-05-06 18:25:22.417843+00:00,2848947.360472855,19092853.74326259,17854477.034671236,19854260.998645388,47.7,4571241.504924807,2920484.3335395628,3046370.9154401664,29.48684342181369,32.57378056364748,-151586.5101946937
G02,2024-05-06 18:25:24.417843+00:00,22724242.143000502,13966619.066643422,1980261.0359239127,19084830.592735212,46.1,4582616.488151232,2897929.8231278076,3148341.179398731,30.312074851143752,32.30821694872605,-102921.60668127052
G03,2024-05-06 18:25:24.417843+00:00,12837644.428912194,9031996.09920483,21295684.362066563,18959760.255056288,40.6,4582616.488151232,2897929.8231278076,3148341.179398731,30.312074851143752,32.30821694872605,-102921.60668127052
G04,2024-05-06 18:25:24.417843+00:00,21693925.19462739,3633727.47510692,15001450.679201197,19111377.497929003,38.4,4582616.488151232,2897929.8231278076,3148341.179398731,30.312074851143752,32.30821694872605,-102921.60668127052
G06,2024-05-06 18:25:24.417843+00:00,4822611.210619459,-14580112.91395404,21714730.19475143,23362162.320340607,45.9,4582616.488151232,2897929.8231278076,3148341.179398731,30.312074851143752,32.30821694872605,-102921.60668127052
G09,2024-05-06 18:25:24.417843+00:00,25256730.09419783,-7259650.808362006,3967133.840338243,20818351.452434942,46.2,4582616.488151232,2897929.8231278076,3148341.179398731,30.312074851143752,32.30821694872605,-102921.60668127052
G16,2024-05-06 18:25:24.417843+00:00,1681035.8682431383,24094240.029714137,-10854602.772037998,23806855.872678842,36.3,4582616.488151232,2897929.8231278076,3148341.179398731,30.312074851143752,32.30821694872605,-102921.60668127052
G17,2024-05-06 18:25:24.417843+00:00,21168886.29275059,-13389733.950186476,9488583.164772756,22479829.36319952,45.5,4582616.488151232,2897929.8231278076,3148341.179398731,30.312074851143752,32.30821694872605,-102921.60668127052
G19,2024-05-06 18:25:24.417843+00:00,13836072.98578444,-15264988.227790244,16359985.07493207,22107372.33332007,45.9,4582616.488151232,2897929.8231278076,3148341.179398731,30.312074851143752,32.30821694872605,-102921.60668127052
G21,2024-05-06 18:25:24.417843+00:00,20942919.124317184,16836361.038887087,-3151614.967892072,20223920.12845212,46.2,4582616.488151232,2897929.8231278076,3148341.179398731,30.312074851143752,32.30821694872605,-102921.60668127052
G26,2024-05-06 18:25:24.417843+00:00,-4217828.659917789,25854179.35873629,2792940.574867232,22560618.794931393,46.3,4582616.488151232,2897929.8231278076,3148341.179398731,30.312074851143752,32.30821694872605,-102921.60668127052
G28,2024-05-06 18:25:24.417843+00:00,-7104982.513646742,13604205.078835998,21664354.07847659,22327427.569200628,46.1,4582616.488151232,2897929.8231278076,3148341.179398731,30.312074851143752,32.30821694872605,-102921.60668127052
G31,2024-05-06 18:25:24.417843+00:00,2845155.649964761,19090126.60158876,17858033.705140613,19854948.42386608,46.2,4582616.488151232,2897929.8231278076,3148341.179398731,30.312074851143752,32.30821694872605,-102921.60668127052
G02,2024-05-06 18:25:25.417843+00:00,22724266.971697353,13966920.159244644,1977102.2823849928,19085220.327909075,45.3,4582611.692961269,2897917.812059713,3148323.299167981,30.311981781451617,32.30813675733103,-102939.67172081489
G03,2024-05-06 18:25:25.417843+00:00,12837146.55176783,9034681.314184522,21294863.381355878,18959610.965716932,38.9,4582611.692961269,2897917.812059713,3148323.299167981,30.311981781451617,32.30813675733103,-102939.67172081489
G04,2024-05-06 18:25:25.417843+00:00,21692190.221312527,3634513.9976990595,15003758.509144068,19111252.4871253,37.9,4582611.692961269,2897917.812059713,3148323.299167981,30.311981781451617,32.30813675733103,-102939.67172081489
G06,2024-05-06 18:25:25.417843+00:00,4824733.089767161,-14578384.219974007,21715432.228525974,23361522.25807827,45.5,4582611.692961269,2897917.812059713,3148323.299167981,30.311981781451617,32.30813675733103,-102939.67172081489
G09,2024-05-06 18:25:25.417843+00:00,25256361.353166703,-7259195.335831389,3970246.127390794,20817960.82477788,45.4,4582611.692961269,2897917.812059713,3148323.299167981,30.311981781451617,32.30813675733103,-102939.67172081489
G16,2024-05-06 18:25:25.417843+00:00,1680447.6174641792,24095477.187230535,-10851818.761541056,23806368.70915619,35.0,4582611.692961269,2897917.812059713,3148323.299167981,30.311981781451617,32.30813675733103,-102939.67172081489
G17,2024-05-06 18:25:25.417843+00:00,21170036.572555076,-13389871.270837838,9485709.896557067,22479994.54621083,44.2,4582611.692961269,2897917.812059713,3148323.299167981,30.311981781451617,32.30813675733103,-102939.67172081489
G19,2024-05-06 18:25:25.417843+00:00,13838179.420248065,-15265334.286427747,16357866.083413234,22107298.88695548,45.1,4582611.692961269,2897917.812059713,3148323.299167981,30.311981781451617,32.30813675733103,-102939.67172081489
G21,2024-05-06 18:25:25.417843+00:00,20942442.458319534,16836273.729864042,-3154694.083502881,20224432.178268798,44.7,4582611.692961269,2897917.812059713,3148323.299167981,30.311981781451617,32.30813675733103,-102939.67172081489
G26,2024-05-06 18:25:25.417843+00:00,-4218199.697767761,25853769.225040313,2796046.6892381497,22560354.68424994,45.6,4582611.692961269,2897917.812059713,3148323.299167981,30.311981781451617,32.30813675733103,-102939.67172081489
