SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G32,2024-04-13 16:51:47.417344+00:00,8071529.50649097,17955346.993691504,18133530.81511789,21262380.75022645,45.1,4436888.267581813,3085280.312962149,3376312.144396304,32.168758999609864,34.81360423447879,47.8521517040208
G02,2024-04-13 16:51:48.417344+00:00,14578383.046319446,-5207769.374786043,22044708.096893776,22806011.207198188,44.0,4436880.761630982,3085277.785006822,3376319.528642271,32.16885188434752,34.81362766238376,45.345525371842086
G03,2024-04-13 16:51:48.417344+00:00,23183702.302448764,-12117300.539367734,4049318.212036207,24145277.224132374,43.1,4436880.761630982,3085277.785006822,3376319.528642271,32.16885188434752,34.81362766238376,45.345525371842086
G08,2024-04-13 16:51:48.417344+00:00,24917341.09633236,4702380.251234804,8493511.86508343,21171486.243794966,48.0,4436880.761630982,3085277.785006822,3376319.528642271,32.16885188434752,34.81362766238376,45.345525371842086
G10,2024-04-13 16:51:48.417344+00:00,-1355182.4548274623,17164016.815568916,20336742.47346712,22790251.114060927,34.1,4436880.761630982,3085277.785006822,3376319.528642271,32.16885188434752,34.81362766238376,45.345525371842086
G21,2024-04-13 16:51:48.417344+00:00,15704731.267713662,1567944.6154798083,21908898.41642222,21741784.706391804,44.4,4436880.761630982,3085277.785006822,3376319.528642271,32.16885188434752,34.81362766238376,45.345525371842086
G27,2024-04-13 16:51:48.417344+00:00,23146394.78749426,13294218.721534265,-2630571.2731388886,22143456.323723882,43.4,4436880.761630982,3085277.785006822,3376319.528642271,32.16885188434752,34.81362766238376,45.345525371842086
G28,2024-04-13 16:51:48.417344+00:00,5197550.518369531,25765050.38001352,-3847969.0945633226,23814302.526604082,36.5,4436880.761630982,3085277.785006822,3376319.528642271,32.16885188434752,34.81362766238376,45.345525371842086
G32,2024-04-13 16:51:48.417344+00:00,8069439.560109178,17954494.19022574,18135306.376969244,21262619.99257533,44.8,4436880.761630982,3085277.785006822,3376319.528642271,32.16885188434752,34.81362766238376,45.345525371842086
G02,2024-04-13 16:51:49.417344+00:00,14578815.491417965,-5205119.41749534,22045082.852958716,22805511.155701343,46.0,4436887.36439875,3085282.0662199873,3376320.0331542883,32.168817972850576,34.81362496259514,52.27184541989118
G03,2024-04-13 16:51:49.417344+00:00,23183377.126837976,-12116825.039968807,4052497.274500657,24144782.551733315,44.9,4436887.36439875,3085282.0662199873,3376320.0331542883,32.168817972850576,34.81362496259514,52.27184541989118
G08,2024-04-13 16:51:49.417344+00:00,24918222.954780146,4703054.7462959895,8490629.876871249,21171659.810613424,49.3,4436887.36439875,3085282.0662199873,3376320.0331542883,32.168817972850576,34.81362496259514,52.27184541989118
G10,2024-04-13 16:51:49.417344+00:00,-1357349.173506613,17165344.653556854,20335433.213674664,22790619.55666315,35.8,4436887.36439875,3085282.0662199873,3376320.0331542883,32.168817972850576,34.81362496259514,52.27184541989118
G21,2024-04-13 16:51:49.417344+00:00,15705150.79302923,1570576.0137893008,21908498.365395203,21741439.924512547,45.6,4436887.36439875,3085282.0662199873,3376320.0331542883,32.168817972850576,34.81362496259514,52.27184541989118
G27,2024-04-13 16:51:49.417344+00:00,23146025.869944427,13294302.131519534,-2633699.6950597907,22143992.67293468,45.2,4436887.36439875,3085282.0662199873,3376320.0331542883,32.168817972850576,34.81362496259514,52.27184541989118
G28,2024-04-13 16:51:49.417344+00:00,5197324.004493194,25765561.276395086,-3844841.9216934354,23813795.558345336,38.5,4436887.36439875,3085282.0662199873,3376320.0331542883,32.168817972850576,34.81362496259514,52.27184541989118
G32,2024-04-13 16:51:49.417344+00:00,8067349.364560572,17953641.41385415,18137081.561758265,21262863.42297647,45.7,4436887.36439875,3085282.0662199873,3376320.0331542883,32.168817972850576,34.81362496259514,52.27184541989118
G02,2024-04-13 16:51:50.417344+00:00,14579248.10328289,-5202469.444846471,22045457.159478296,22805011.697511904,46.0,4436892.901702324,3085286.0326152598,3376316.7640659986,32.16876031858194,34.81362597158579,56.29643547255546
G03,2024-04-13 16:51:50.417344+00:00,23183051.64562021,-12116349.297135154,4055676.2499235338,24144281.59725588,45.4,4436892.901702324,3085286.0326152598,3376316.7640659986,32.16876031858194,34.81362597158579,56.29643547255546
G08,2024-04-13 16:51:50.417344+00:00,24919104.524698675,4703729.039747692,8487747.711623866,21171830.72499878,49.7,4436892.901702324,3085286.0326152598,3376316.7640659986,32.16876031858194,34.81362597158579,56.29643547255546
G10,2024-04-13 16:51:50.417344+00:00,-1359515.6771552823,17166672.537224706,20334123.525443144,22790987.685161453,33.9,4436892.901702324,3085286.0326152598,3376316.7640659986,32.16876031858194,34.81362597158579,56.29643547255546
