SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G28,2024-04-13 16:52:25.418698+00:00,5189163.199646102,25783702.49371559,-3732205.526284102,23797331.010013446,31.7,4436896.7892953055,3085288.024154451,3376328.1434478373,32.16882639944224,34.81361977589863,66.01921047642827
G32,2024-04-13 16:52:25.418698+00:00,7991933.834076067,17922958.769524448,18200739.1740363,21273356.33869659,44.7,4436896.7892953055,3085288.024154451,3376328.1434478373,32.16882639944224,34.81361977589863,66.01921047642827
G02,2024-04-13 16:52:26.418698+00:00,14594933.76050424,-5107057.164780322,22058633.22890047,22788713.43858516,43.8,4436906.917860919,3085273.80989381,3376342.7802569573,32.1689371655291,34.81343474110138,73.98195635806769
G03,2024-04-13 16:52:26.418698+00:00,23171130.675016988,-12099059.465989567,4170065.0588194164,24128045.271612074,37.2,4436906.917860919,3085273.80989381,3376342.7802569573,32.1689371655291,34.81343474110138,73.98195635806769
G08,2024-04-13 16:52:26.418698+00:00,24950649.700690202,4727870.497739821,8383868.488039859,21179820.627302565,48.4,4436906.917860919,3085273.80989381,3376342.7802569573,32.1689371655291,34.81343474110138,73.98195635806769
G10,2024-04-13 16:52:26.418698+00:00,-1437369.167884117,17214508.11368045,20286687.83931089,22805682.780997466,43.6,4436906.917860919,3085273.80989381,3376342.7802569573,32.1689371655291,34.81343474110138,73.98195635806769
G21,2024-04-13 16:52:26.418698+00:00,15720778.671060232,1667881.2844437743,21893384.186815087,21730486.57968415,44.2,4436906.917860919,3085273.80989381,3376342.7802569573,32.1689371655291,34.81343474110138,73.98195635806769
G27,2024-04-13 16:52:26.418698+00:00,23132134.197575316,13297283.286460966,-2749416.721676796,22165715.795569077,40.8,4436906.917860919,3085273.80989381,3376342.7802569573,32.1689371655291,34.81343474110138,73.98195635806769
G28,2024-04-13 16:52:26.418698+00:00,5188936.340441668,25784199.40326521,-3729075.3724628324,23796889.689473834,29.6,4436906.917860919,3085273.80989381,3376342.7802569573,32.1689371655291,34.81343474110138,73.98195635806769
G32,2024-04-13 16:52:26.418698+00:00,7989834.443834531,17922107.03015347,18202500.381843805,21273639.625395045,42.3,4436906.917860919,3085273.80989381,3376342.7802569573,32.1689371655291,34.81343474110138,73.98195635806769
G02,2024-04-13 16:52:27.418698+00:00,14595372.54048584,-5104406.669365488,22058990.897339102,22788246.647203326,41.6,4436897.610866093,3085286.0833465005,3376326.0723348605,32.1688126710116,34.813597909281,64.54956431966275
G03,2024-04-13 16:52:27.418698+00:00,23170793.914342597,-12098574.689999163,4173240.7626246954,24127578.205457482,33.6,4436897.610866093,3085286.0833465005,3376326.0723348605,32.1688126710116,34.813597909281,64.54956431966275
G08,2024-04-13 16:52:27.418698+00:00,24951520.565052643,4728537.353572721,8380979.816128008,21180024.173595097,46.8,4436897.610866093,3085286.0833465005,3376326.0723348605,32.1688126710116,34.813597909281,64.54956431966275
G10,2024-04-13 16:52:27.418698+00:00,-1439527.6862238264,17215837.64964575,20285362.316723827,22806071.29135009,41.2,4436897.610866093,3085286.0833465005,3376326.0723348605,32.1688126710116,34.813597909281,64.54956431966275
G21,2024-04-13 16:52:27.418698+00:00,15721203.861041993,1670509.423420729,21892967.287970632,21730171.218872003,40.8,4436897.610866093,3085286.0833465005,3376326.0723348605,32.1688126710116,34.813597909281,64.54956431966275
G27,2024-04-13 16:52:27.418698+00:00,23131752.23776832,13297361.026390724,-2752543.0299394336,22166275.49317121,43.7,4436897.610866093,3085286.0833465005,3376326.0723348605,32.1688126710116,34.813597909281,64.54956431966275
G28,2024-04-13 16:52:27.418698+00:00,5188709.4708671365,25784695.934806086,-3725945.138541714,23796373.43769925,30.8,4436897.610866093,3085286.0833465005,3376326.0723348605,32.1688126710116,34.813597909281,64.54956431966275
G32,2024-04-13 16:52:27.418698+00:00,7987734.805637658,17921255.319685224,18204261.211341515,21273901.971832216,42.6,4436897.610866093,3085286.0833465005,3376326.0723348605,32.1688126710116,34.813597909281,64.54956431966275
G02,2024-04-13 16:52:28.418698+00:00,14595811.48711332,-5101756.160957015,22059348.1160152,22787770.29310217,39.9,4436907.867103109,3085285.4893563944,3376337.258488952,32.168859259289995,34.81353065949927,77.34601945057511
G03,2024-04-13 16:52:28.418698+00:00,23170456.849590387,-12098089.669171816,4176416.3767235707,24127110.82519897,37.5,4436907.867103109,3085285.4893563944,3376337.258488952,32.168859259289995,34.81353065949927,77.34601945057511
G08,2024-04-13 16:52:28.418698+00:00,24952391.13930621,4729204.009011796,8378090.969496796,21180226.25406934,48.3,4436907.867103109,3085285.4893563944,3376337.258488952,32.168859259289995,34.81353065949927,77.34601945057511
G10,2024-04-13 16:52:28.418698+00:00,-1441685.987986629,17217167.229247056,20284036.366690766,22806459.52249923,41.7,4436907.867103109,3085285.4893563944,3376337.258488952,32.168859259289995,34.81353065949927,77.34601945057511
G21,2024-04-13 16:52:28.418698+00:00,15721629.199780433,1673137.4755103332,21892549.94599962,21729849.226977117,40.6,4436907.867103109,3085285.4893563944,3376337.258488952,32.168859259289995,34.81353065949927,77.34601945057511
G27,2024-04-13 16:52:28.418698+00:00,23131369.934488542,13297438.618082011,-2755669.2812312036,22166844.823293537,46.6,4436907.867103109,3085285.4893563944,3376337.258488952,32.168859259289995,34.81353065949927,77.34601945057511
G28,2024-04-13 16:52:28.418698+00:00,5188482.590969134,25785192.088116683,-3722814.8259425443,23795912.049409237,29.2,4436907.867103109,3085285.4893563944,3376337.258488952,32.168859259289995,34.81353065949927,77.34601945057511
G32,2024-04-13 16:52:28.418698+00:00,7985634.919798804,17920403.638281114,18206021.662261,21274182.850400623,43.6,4436907.867103109,3085285.4893563944,3376337.258488952,32.168859259289995,34.81353065949927,77.34601945057511
G02,2024-04-13 16:52:29.418698+00:00,14596250.600361848,-5099105.639746418,22059704.8849058,22787298.720360674,39.0,4436887.131227815,3085277.678561918,3376313.94794644,32.16878446751679,34.81358818147545,46.749539440497756
G03,2024-04-13 16:52:29.418698+00:00,23170119.48078393,-12097604.403446054,4179591.9012062238,24126628.158549722,35.7,4436887.131227815,3085277.678561918,3376313.94794644,32.16878446751679,34.81358818147545,46.749539440497756
G08,2024-04-13 16:52:29.418698+00:00,24953261.42339673,4729870.464079438,8375201.948249681,21180431.301080596,40.3,4436887.131227815,3085277.678561918,3376313.94794644,32.16878446751679,34.81358818147545,46.749539440497756
G10,2024-04-13 16:52:29.418698+00:00,-1443844.073119278,17218496.852422517,20282709.989245925,22806849.2543671,37.8,4436887.131227815,3085277.678561918,3376313.94794644,32.16878446751679,34.81358818147545,46.749539440497756
